Id,Name,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,MasterRecordId,Type,RecordTypeId,ParentId,Phone,Fax,Website
001Ui000007fCKcIAM,Stonecrop Advisors,2 West Market Street,West Chester,PA,19382,United States,2 West Market Street,West Chester,PA,19382,United States,,,0128V000000WuaQQAS,,(610) 628-0035,,
001Ui000007fa1vIAA,Regina Luminis Academy,601 First Avenue,Berwyn,PA,19312,United States,,,,,,,,0128V000000WueSQAS,,(610) 269-3905,,
001Ui000007gnebIAA,C.A.R.E.S,2013 Sandy Drive Suite 205,State College,PA,16803,United States,,,,,,,,0128V000000WueSQAS,,,,
001Ui000008rjjzIAA,Pacific Advisors,200 Southwest Market Street,Portland,OR,97201,United States,200 Southwest Market Street,Portland,OR,97201,United States,,,0128V000000WuaQQAS,,,,
001Ui000008rqdNIAQ,South Valley Community Church,,,,,,,,,,,,,0128V000000WueSQAS,,(408) 848-2363,,
001Ui00000ARmlyIAD,Children's Advocacy Center Of Southern Arizona,,,,,,,,,,,,,0128V000000WueSQAS,,,,
001Ui00000ApeYjIAJ,University Church Of Christ,425 Cypress Street,Abilene,TX,79601,United States,425 Cypress Street,Abilene,TX,79601,United States,,,0128V000000WueSQAS,,(325) 56771231,,
001Ui00000AvYnBIAV,Northeast Financial Group,3435 Winchester Road,Allentown,PA,18104,United States,,,,,,,,0128V000000WuaQQAS,,(570) 06889898,,nefginc.com
001Ui00000AvZEbIAN,Valley School Of Ligonier,153 Lupine Lane,Rector,PA,15677,United States,,,,,,,,0128V000000WueSQAS,,(724) 42386652,,
001Ui00000B8ezdIAB,Hughes Federal Credit Union,,,,,,,,,,,,,0128V000000WueSQAS,,,,
001Ui00000BSlk2IAD,Community Family Church,11875 Taylor Mill Road,Independence,KY,41051,United States,,,,,,,,0128V000000WueSQAS,,(859) 512-5281,,
001Ui00000BxgwCIAR,New York Life Insurance Company,6815 Poplar Avenue,Germantown,TN,38138,United States,6815 Poplar Avenue,Germantown,TN,38138,United States,,,0128V000000WuaQQAS,,,,
001Ui00000ByQSjIAN,Wildlandscapes International,13 South Monroe Street,Tallahassee,FL,32301,United States,,,,,,,,0128V000000WueSQAS,,(603) 831-0920,,
001Ui00000CQdy9IAD,"RHK Construction, LLC",,,,,,,,,,,,,0128V000000WueSQAS,,(520) 829-7651,,
001Ui00000E3QXOIA3,Elyria Christian School,1644 Comanche Road,Mcpherson,KS,67460,United States,,,,,,,,0128V000000WueSQAS,,(620) 241-2994,,
001Ui00000E3QqjIAF,Inspire Advisors,3597 East Monarch Sky Lane,Meridian,ID,83646,United States,East Monarch Sky Lane,Meridian,ID,83642,United States,,,0128V000000WuaQQAS,,(877) 859-6383,,
001Ui00000E3RN0IAN,Association Of Classical Christian Schools,"""PO Box 9741
317 West 6th Street""",Moscow,ID,83843,United States,,,,,,,,0128V000000WueSQAS,,(208) 882-6101,,
001Ui00000E8VOhIAN,Greenville Community Church,38 David Street,Greenville,SC,29609,United States,,,,,,,,0128V000000WueSQAS,,(864) 381-9811,,
001Ui00000E8W5vIAF,Sovereign Private Wealth,21 Augusta Street Suite C,Greenville,SC,29601,United States,,,,,,,,0128V000000WuaQQAS,001Ui00000E8dCFIAZ,(864) 501.5108,,sovereignpw.com
001Ui00000E8dCFIAZ,Oneascent,23 Inverness Center Parkway,Birmingham,AL,35242,United States,,,,,,,,0128V000000WuaQQAS,,(205) 313-9142,,oneascent.com
001Ui00000ETbCFIA1,Skills Of Central PA,341 Science Park Road,State College,PA,16803,United States,,,,,,,,0128V000000WueSQAS,,(814) 238-3245,,
001Ui00000Er2q3IAB,Wealth Teams Alliance,15520 Rockfield Boulevard Suite G,Irvine,CA,92618,United States,15520 Rockfield Boulevard Suite G,Irvine,CA,92618,United States,,,0128V000000WuaQQAS,,(877) 282-4768,,
001Ui00000FSReDIAX,Archdiocese Of Milwaukee,3501 South Lake Drive,Milwaukee,WI,53207,United States,,,,,,,,0128V000000WueSQAS,,,,
001Ui00000FYIGRIA5,Lakewin Christian Center,6449 Church Street,Riverdale,GA,30274,United States,,,,,,,,0128V000000WueSQAS,,(770) 991-3551,,
001Ui00000FZpmzIAD,Farris Group,1006 West Academy Street,Cherryville,NC,28021,United States,,,,,,,,0128V000000WueSQAS,,(704) 629-4879,,
001Ui00000FuvscIAB,Thomashill Behavior Training Innovations,2785 Summer Oaks Drive,Bartlett,TN,38134,United States,,,,,,,,0128V000000WueSQAS,,(901) 425-5821,,
001Ui00000FuwjqIAB,"Peer Consultants, P.C",409 12Th Street Southwest,Washington,DC,20024,United States,,,,,,,,0128V000000WueSQAS,,(202) 478-2060,,
001Ui00000G8xD1IAJ,"University Of Maryland Obstetrical & Gynecological Associates, P.A.",250 West Pratt Street Suite 880,Baltimore,MD,21201,,,,,,,,,0128V000000WueSQAS,,(667) 214-1303,(410) 328-1669,
001Ui00000GE5kzIAD,Level A Underground Solutions,1440 Conchester Highway,Garnet Valley,PA,19060,United States,,,,,,,,0128V000000WueSQAS,,(800) 752-3151,,
001Ui00000GswozIAB,"Future Seekers, Inc.",3270 Darby Drive,Douglasville,GA,30135,United States,,,,,,,,0128V000000WueSQAS,,(404) 699-6998,,
001Ui00000HsHOiIAN,All Saints' Church - Wynnewood,1325 Montgomery Avenue,Wynnewood,PA,19096,United States,,,,,,,,0128V000000WueSQAS,,(610) 642-4098,,
001Ui00000IJnkDIAT,Rainier Scholars,2100 24Th Avenue South Suite 360,Seattle,WA,98144-4646,United States,,,,,,,,0128V000000WueSQAS,,(206) 407-2111,(206) 407-2112,
001Ui00000INsQOIA1,"Westminster Services, Inc.",80 West Lucerne Circle,Orlando,FL,32801,United States,,,,,,,,0128V000000WueSQAS,,(407) 839-5050,,
001Ui00000IhqsHIAR,Education Law Center,1800 John F Kennedy Boulevard,Philadelphia,PA,19103,United States,,,,,,,,0128V000000WueSQAS,,215-238-6970 ext 307,,
